destination,people,origin
101011001,7378,101011001
101011002,120,101011001
101011002,8,101011001
101011002,285,101011001
101011003,7,101011001
101011004,0,101011001
101011004,1,101011001
101011004,2,101011001
101011004,9,101011001
101011005,0,101011001
101011005,3,101011001
101011006,1,101011001
101011006,1,101011001
101011006,1,101011001
101021007,1,101011001
101021007,7,101011001
101021008,9,101011001
101021009,35,101011001
101021010,24,101011001
101021011,10,101011001
101021011,2,101011001
101021011,25,101011001
101021011,2,101011001
101021012,10,101011001
101031014,1,101011001
101031014,2,101011001
101031016,3,101011001
101041019,4,101011001
102011032,3,101011001
103011060,2,101011001
103011060,0,101011001
103031074,2,101011001
103031074,0,101011001
103031074,0,101011001
103041076,2,101011001
103041076,0,101011001
106031124,3,101011001
106041127,3,101011001
107031137,3,101011001
107031140,3,101011001
107031141,4,101011001
107031143,3,101011001
107041144,3,101011001
107041149,6,101011001
109011174,3,101011001
109031182,3,101011001
110011187,1,101011001
110011187,1,101011001
110011187,0,101011001
111031222,0,101011001
111031222,2,101011001
113011256,3,101011001
113021260,0,101011001
113021260,2,101011001
113021261,3,101011001
113021262,5,101011001
113021262,0,101011001
113031263,2,101011001
113031263,0,101011001
113031263,0,101011001
114011272,5,101011001
114021284,16,101011001
114021286,8,101011001
114021287,57,101011001
114021289,8,101011001
115011291,8,101011001
117011321,3,101011001
117031332,1,101011001
117031332,2,101011001
117031333,3,101011001
117031337,13,101011001
119011353,3,101011001
119011355,5,101011001
119011355,0,101011001
119011356,3,101011001
119021364,2,101011001
119021364,0,101011001
119021366,1,101011001
119021366,1,101011001
119041381,3,101011001
120031391,0,101011001
120031391,3,101011001
120031397,0,101011001
120031397,0,101011001
120031397,2,101011001
121011398,3,101011001
122031431,3,101011001
123021437,3,101011001
123031445,3,101011001
123031447,0,101011001
123031447,3,101011001
124011454,6,101011001
125041488,3,101011001
125041492,0,101011001
125041492,9,101011001
126021497,0,101011001
126021497,0,101011001
126021497,2,101011001
126021500,6,101011001
127011504,3,101011001
127031523,5,101011001
127031525,3,101011001
128011528,4,101011001
128011530,4,101011001
128011531,3,101011001
199999599,352,101011001
101011001,754,101011002
101011002,354,101011002
101011002,24,101011002
101011002,843,101011002
101011003,1,101011002
101011004,0,101011002
101011004,1,101011002
